xikin nan pvtaq ,abacus
Tom aal looxiam kilomitar vyigo xardwn,Tom runs 10 kilometers every day 
Meeri aljaqb iss jaadnvk hvl Tom benum,Tom said Mary was a good swimmer 
Meeri Prancam aljaqb bedwn hvl Tom benum,Tom said Mary was good at French 
Tom mwv hog ak kam nyilama hvl benum,Tom said he couldn't do anything 
Hoqhv mwwnyirdub nyima hvl Tom benum,Tom said he didn't find it funny 
Tom ngulam svkakoram hvl benum,Tom said he didn't need our help 
Tom hog ak kam naaram hvl benum,Tom said he didn't want anything 
Tom mwv narl soonwma hvl benum,Tom said he didn't want to dance 
Tom mwwnum no pacabogo hvl,Tom said he thinks you're stupid 
Tom mwv twbam bosdvn hvl benum,Tom said he was afraid of snakes 
Ham Tom nyitwl hempjaqdo hvl benum,Tom said he was glad he did that 
Tom nam abydvn hvl benum,Tom said he was in love with you 
Tom ham lwgta nyiram hvl benum,Tom said he wouldn't do it again 
Tom ngulam kaayaram hvl benum,Tom said he wouldn't wait for us 
Tom mwv namub wwl oyum dvsam dvtaden hvl benum,Tom said he'd be home for dinner 
Nyi ak kam uun gvma hvl Tom benum,Tom said nobody had been injured 
Tomwg benam hv ngam hog ak bepa,Tom said something mean about me 
Tom mwv aljaqb iss jaadwn hvl benum,Tom said that he could swim well 
Tom nam kaacinmak hvl benum,Tom said that he didn't know you 
Tom mwv hangarjaqpa hvl benum,Tom said that he had been hungry 
Tom mwv ham bemanumwk hvl benum,Tom said that he never said that 
Tom mwv ngam abyjaqdnvk hvl benum,Tom said that he really liked me 
Tom mwv kano jaqpak hvl benum,Tom said that he was very hungry 
Tom mwv nam gab hog mwpamak hvl benum,Tom said that he wasn't homesick 
Tom mwv hookurtaikun hvl benum,Tom said that he would come back 
Tom mwv moodjaqkam haatayin hvl benum,Tom said that he'd be right back 
Tom mwv aaramam bepatayin hvl benum,Tom said that he'd call tomorrow 
Tom mwv aaramam haatayin hvl benum,Tom said that he'd come tomorrow 
Tom begomv no ngoqg twnkam dvcopan hvl bepan,Tom said that you stole my money 
Tom begomv ngulv vigo nyinyoqkindo hvl benum,Tom said we should rehearse more 
No nyiyi nyimal aljaqb kaatomdvn hvl Tom benum,Tom said you were good at skiing 
Dootumkoho Tom Meerig kookwjaqho doonum,Tom sat beside Mary on the bench 
Kanho Tom alv lvkominstvl doonum,Tom sat cross-legged in the dark 
Tom mwwg bor kookwjaqho doonum,Tom sat down next to his brother 
Tom kooijaqnbog vpin dootamho doonum,Tom sat in the big leather chair 
Tom cuukigol dootam aniobogol doonum,Tom sat on a stool in the corner 
Tom Meerig nit kar ham xarnamam kaanum,Tom saw Mary driving her new car 
Kenlwg kvnho Tom noqg wswq hornamam kaapanum,Tom saw you fishing last weekend 
Tom mwv namho vpub doolamadnvk hvl benum,Tom says I can't stay home alone 
Tom begumv Meeri mood lwxiam xabl doonmvk hvl benum,Tom says Mary cries all the time 
Tom mwv ham twnkgab nyinmvk hvl benum,Tom says he did it for the money 
Tom mwv Pranc agumam poorydvnwk hvl benum,Tom says he used to study French 
Tom mwv imiq akub nyil doonw dukuk hvl benum,Tom says he wants to settle down 
Ngulv hogam nyiladvn ham Tom mwv nyilatayin hvl benum,Tom says he'll do whatever we do 
Tom mwv Bostonwb nyibiajaqb wwtayin hvl benum,Tom says he'll go to Boston soon 
Tom mwv kwrwjaqb nyil dookytayin hvl benum,Tom says he'll keep working hard 
Tom mwv ham lwgta nyikur kuram hvl benum,Tom says he'll never do it again 
Tom mwv Meerin lwgkam vmvram hvl benum,Tom says he's never lied to Mary 
Tom mwv poorydvb ngaapaku hvl benum,Tom says he's too tired to study 
Tom mwv mwwg mwwnamv aljaqb mwwsdvn hvl benum,Tom says his conscience is clear 
Tom mwv hvdgo sogoq ladwn hvdgo sogoqnum,Tom screamed as loud as he could 
Tom bulam tacjaqb sogoqnum,Tom screamed obscenities at them 
Tom Pranc agum hvb sogoqnum,Tom screamed something in French 
Tom soq pagoqgab meeg haangv almab nyinum,Tom seemed pretty upset about it 
Tom pui ham tatwl meeg almab nyinum,Tom seemed surprised at the news 
Tom soolo meeg luusaq paku,Tom seemed to be different today 
Tom meeg swwpaku ,Tom seemed to be making progress 
Hoqhv Tomwn almab nyipwn hvb nyido,Tom seemed to be unfazed by that 
Tom so vigo hempdvn hvb nyido,Tom seemed to be very happy here 
Tom vigo mwumdvn hvbja nyido,Tom seemed to be very suspicious 
Tom hoqham haang lengdwn hvb nyido,Tom seemed to find that annoying 
Tom meeg vvi yaadkun hvb nyido,Tom seemed to have gained weight 
Tom ham mwamja nyipwn hvb mwwdo,Tom seemed to take it personally 
Tom mwam atv nyilajaqtayin hvl mwwdo,Tom seems fairly sure of himself 
Tom Meerin hemp yaadwn hvb nyido,Tom seems much happier than Mary 
"Tom mood mooma doomadvn hvb nyido, hvbma i?","Tom seems quite busy, doesn't he?"
Tom giitar aljaqb mvladvn hvb nyido,Tom seems to be a good guitarist 
Tom jvqtw nyi hvbja nyido,Tom seems to be an honest person 
Tom Meerinya mood mooma doomadvn hvb nyido,Tom seems to be busier than Mary 
Tom dvsgab atorjaqb boon nyido,Tom seems to be hard up for food 
Tom meeg haangv alyoomadvn hvb nyido,Tom seems to be slightly annoyed 
Tom ngoqg pagoqkam vigo cengdwn hvb nyido,Tom seems to know a lot about me 
Tom Meerin kvn akam lwumgo kaadwn,Tom sees Mary three times a week 
Tom sam lusaqjaqb kaado,Tom sees this in a different way 
Tom mwwg jvx vjam aniogob kootwqdvn,Tom seldom wears his black shirt 
Tom moodgobtwq mwwg an-abam pui xeqdwn,Tom seldom writes to his parents 
Tom ngam mwwnyirbo puiam xeqnum,Tom sent me a funny text message 
Kongresho Tom lwnygo swwnum,Tom served two terms in Congress 
Tom mwwg mood kaan nanho duu koodub 2:30ho mvlwqnum,Tom set his alarm clock for 2:30 
Tom mwwg tiiswr dvsam Meerin dvgnum,Tom shared his dessert with Mary 
Tom Meerig lvgab ily abnum,Tom shot at Mary with a crossbow 
Tomwn mengdub hwwyinjipaku,Tom should get the death penalty 
Lwgpalo ham Tom nyibiajaqb nyikam yinpv,Tom should probably do that soon 
Jvqtwjaqb ham Tom mwwkadub nyiyin lodado,Tom should really think about it 
Tom vijaqg dvyin kimanum,Tom shouldn't have eaten so much 
Tom mwwg nyit punam lvrgnum,Tom showed off his new cellphone 
Lwxiam Tom Meerig dayab bekydvn,Tom sides with Mary all the time 
Pranc klasho wwdub Tom xeqrnum,Tom signed up for a French class 
Tom megajin lvgab pioxanum,Tom skimmed through the magazine 
Tom mwwg vyapam vcjaqb dunum,Tom slammed his door really hard 
Tom twnk pvvnan vyapam vcjaqb tuutumnum,Tom slammed the locker door shut 
Tom taru vj uraho yubnum,Tom slept under mosquito netting 
Tom mwwg kucuqbo hvyiqdub pvvnanam ngam pyuqnum,Tom sold me his old refrigerator 
Tom nyodongam kesdub meenum,Tom sought shelter from the rain 
Meegtanio ham Tom lvrnanwl sogoq tadanum,Tom sounded almost proud of that 
Tom namkam ho Prancamkam goonum,Tom speaks French as well as you 
Tom Prancam ngamya alyaadub goodwn,Tom speaks French better than me 
Tom meeg Prancam goodwn,Tom speaks French to some extent 
Tom alaqkv nyikinbanv Prancam goodwn,Tom speaks French with an accent 
Tom nyoodo agumam luunygo goolaqdvn,Tom speaks two foreign languages 
Tom mood vigo boon nyikho naapa,Tom spends too much time working 
Tom ayam yubtaqnanho doonum,Tom spent the night on the couch 
Tom pvtwho vnyi camumgo doonum,Tom spent thirty years in prison 
Tom rwxw-gomga ngam tal narl soorabnum,Tom started dancing to the music 
Tom mwg narangam vx-vrwl nyirobnum,Tom started packing his backpack 
Tom mwg cuk ham mvronum,Tom started to empty his pockets 
Tom mwg swwnam bumpwho tumbub doonum,Tom stayed single his whole life 
Tom olo vnyi nyiyumgo doonum,Tom stayed there for three years 
Tom ai yupwho pooryl doonum,Tom stayed up all night studying 
Tom vrs dubnbo tulu aogol caadaqnum,Tom stepped on some broken glass 
Tom popumho daqlinum,Tom stepped out onto the balcony 
Tom sijaxab hogv nyitayinyu hvl cengma,Tom still didn't know what to do 
Tom sijaxab jvqtwngam cengmata,Tom still doesn't know the truth 
Tom sijaxab Bostonho doomata,Tom still doesn't live in Boston 
Tom sijaxab mwg an-ab dookub dooxeqdvn,Tom still lives with his parents 
Tom mwg ajin hoqgv twnk doconum,Tom stole money from his friends 
Tom vrsig agalo daqnum,Tom stood in front of the mirror 
Tom moodgob poorymab doonum,Tom stopped reading for a moment 
Tom Meerig aolo mwg ayam nootul doonum,Tom stuck out his tongue at Mary 
Tom kolejho ikonomiks ham poorynum,Tom studied economics in college 
Tom ileksonho mvyakunum,Tom succeeded in getting elected 
Tom ar roxiam horsydvn,Tom takes a shower every morning 
Tom hooluluxiam anam acamdvn,Tom takes everything for granted 
Tom atam vcloodab hvvmin sudwn,Tom takes himself very seriously 
Tom atv Pranc cengsham reetamdvn,Tom takes private French lessons 
Tom mwam Meeri svkanumwk hvl goonum,Tom talked Mary into helping him 
Tom nyub dvparb nyidub hvl goonum,Tom talked about becoming a monk 
Tom mwg nyidub mwwnamam ngam gootumnum,Tom talked to me about his plans 
Tom mwg abwg pagoqkam viloodagob goodwn,Tom talks a lot about his father 
Tom lwxiam noqg pagoqkam goodaqdvn,Tom talks about you all the time 
Tom geabo tulungam Jarmani tomswrdvn,Tom teaches German to immigrants 
Aky jigumgab Tom Meerin paqyaco hvl paqnum,Tom thanked Mary for the present 
Kaayajigumgab Tom mwlwngam paqyaco hvl paqnum,Tom thanked everyone for waiting 
Ngo Meerin aby dvde hvl Tom mwwnum,Tom thinks I'm in love with Mary 
Tom mwwgamv mwv gvvdangam ywwlatayin hvl,Tom thinks he can save the world 
Aramam nyodo hotayi hvl Tom mwwnum,Tom thinks it will rain tomorrow 
Tom mwwnum Meeri ham nyilatayin hvl,Tom thinks that Mary may do that 
Nyidub mwwnamv jvrkurtayi hvl Tom mwwnum,Tom thinks the plan may backfire 
Soq kedsi ruqtayi hvl Tom mwwnum,Tom thinks this place is haunted 
Meeri Jonwn mvyatayi hvl Tom mwwnum,Tom thought Mary could beat John 
Meeri boon nyis ak kaapatayi hvl Tom mwwnum,Tom thought Mary could get a job 
Meeri hookur hoodudo hvl Tom mwwnum,Tom thought Mary was coming back 
Meeri cwrwho doopade hvl Tom mwwnum,Tom thought Mary was in the room 
Tom mwam Meeri pvvspa hvl mwwnum,Tom thought Mary was kidding him 
Meeri hogam benum ham Tom mwwl doonum,Tom thought about what Mary said 
Meeri yumypaku hvl Tom mwwnum,Tom thought that Mary was asleep 
Hoq mwwnam hv aljaqpa hvl Tom mwwnum,Tom thought that was a good idea 
Ngo hogam mwwnum hvbjaq Tom kalam mwwpa,Tom thought the same thing I did 
Tom mwwg kucuqbo xeql apnanam horxianum,Tom threw his old notebooks away 
Tom kucuqbo puipotangam horxiakunum,Tom threw out the old newspapers 
Tom kitapam wm urab horlwqnum,Tom threw the book into the fire 
Tom mwv kanopak hvl Meerin betomnum,Tom told Mary that he was hungry 
Tom Meerin mwnwg benamv kvtaq bepan hvl benum,Tom told Mary that she was right 
Tom Meerin kookwngam hookurta hvl benum,Tom told Mary to come back later 
Hoqham rvto hvl ngam Tom benum,Tom told me I shouldn't buy that 
Tom ngam hwrci jaqnbo gon ak betomnum,Tom told me an interesting story 
Tom mwv vcloodab kanodo hvl ngam betomnum,Tom told me he was really hungry 
Tom mwv Pranc agum goodwn hvl ngam betomnum,Tom told me that he spoke French 
Tom ngam nyi asaqkam aniatvk hvl tomswrnum,Tom told me to be kind to others 
Tom ngam wgdvl bon wtwlo meeg rvtag hvl kanamnum,Tom told me to go buy some bread 
Tom ngam meegta cooikab gootwk hvl benum,Tom told me to speak more slowly 
Tom ngulam hwrcijaqnbo gon ak xwwtomnum,Tom told us an interesting story 
Tom kac yaqkumko lamkwb daqyumnum,Tom took cover behind a dumpster 
Tom mwg ko tulungam kubu pvta sokumkoho kaatab wwgnum,Tom took his children to the zoo 
Tom mwg kaal poorynanam naaxyanum,Tom took his reading glasses off 
Tom mwg luxuqkamla lvpya pulupnan vjam pisuqnum,Tom took his shoes and socks off 
Tom ngam aljaqnbo hotel gol wgnum,Tom took me to a nice restaurant 
Tom mwg kamtamla ho loqlupam pisuqnum,Tom took off his coat and gloves 
Tom mwg luxuqkamla lvpya pulupnan vjam pisuqnum,Tom took off his shoes and socks 
Tom twnkam naalinl badaho tvpnum,Tom took the money off the table 
Tom mwg lvqcam lvqci hoqgv pilinum,Tom took the ring off his finger 
Tom gusam puc-puinum,Tom tore the picture into pieces 
Tom yubtaqnanho kitapam hordu-horbabl nyil doonum,Tom tossed the book on the couch 
Tom Meerig gorbwngam idaqnum,Tom touched Mary on the shoulder 
Tom Meerin lvpw atwg nyemko hvb kaal doognum,Tom treated Mary like a princess 
Tom ham aljaqb nyika gvnwn,Tom tried really hard to do that 
Tom toxnamam birwqdub aljaqb nyikanum,Tom tried to answer the question 
Tom Meeri hvdgo vvidvn ham bekanum,Tom tried to guess Mary's weight 
Tom luuxiqg naas bvvsam naadvb aljaqb nyikanum,Tom tried to make both ends meet 
"Tom yubdub nyikanum, hvbmab yublamanum","Tom tried to sleep, but couldn't "
"Tom bedub nyikanum, hvbmab belamanum","Tom tried to speak, but couldn't "
Tom Meeri hoqgv aadoho doodub nyikanum,Tom tried to stay away from Mary 
Tom Meerig mwwnam ham mvxadub nyikanum,Tom tried to thwart Mary's plans 
Tom xeqkanan pota xeqmatan dayab lwqkonum,Tom turned in a blank test paper 
Tom Park istrit dayab pvrkubnum,Tom turned left onto Park Street 
Tom so Hvvi aalam haakydvn,Tom used to come here on Mondays 
Tom ngoqg nam bwwyirjaho doodwn,Tom used to live next door to me 
Tom oyum yumxiam iss jaadwn,Tom used to swim every afternoon 
Tom lwxiam mwwg aal ecin dvnamam vpub dvkydvn,Tom usually eats his lunch alone 
Tom namub swlw duur kvnam wwkydukun,Tom usually leaves home at seven 
Tom ar komc lwxiam iss jaakydvn,Tom usually swims in the morning 
Tom nam hokv boon nyitab wwkydvn,Tom usually walks home from work 
Tom soqg kvnho ngulam kaaqanum,Tom visited us this past weekend 
Tom wwkurdukub hvl Meerin kaaya yaal doonum,Tom waited for Mary to come back 
Tom namub wwdkub hvl Meerin kaayanum,Tom waited for Mary to come home 
Tom swlw duur akgob kaayal doonum,Tom waited for more than an hour 
Tom nam agajaho kaayal doonum,Tom waited in front of the house 
Tom vpub pobu bwwyirho wwl doonum,Tom walked along the shore alone 
Tom mwwg ikyam bool ar roxiam wwdwn,Tom walked his dog every morning 
Tom mwwg nam namcir lengnum,Tom walked out into his backyard 
Tom dookum dook namub nyibiajaqb iponum,Tom walked quickly down the hall 
Tom nyibiajaqb vbiab caonum,Tom walked quickly up the stairs 
Tom Meerin Joonwn kaakar mvdub mwwnum,Tom wanted Mary to look for John 
Tom opera bemin ben gob swwdub mwwnum,Tom wanted to be an opera singer 
Tom pulis swwdub mwwnum,Tom wanted to become a policeman 
Tom sayintistb swwdub mwwnum,Tom wanted to become a scientist 
Tom cengsam ham kwlydub mwwnum,Tom wanted to change the subject 
Tom iskul wwkmaadub mwwnum,Tom wanted to drop out of school 
Tom keek mwlwngam dvdub mwwnum,Tom wanted to eat the whole cake 
Tom oyum dvsam yubtaqnan aoho dvdub mwwnum,Tom wanted to have dinner in bed 
Hogv nyipan ham Tom cengdub mwwnum,Tom wanted to know what happened 
Tom mwwg nyitbo luxuqkam gvnwnum,Tom wanted to wear his new shoes 
Tom mwv atwg nam ak mvdubja mwwnum,Tom wants to build his own house 
Tom haatadvn vnyingam nyoodo gvvdab wwdub mwwnum,Tom wants to go abroad next year 
Tom atwg gvvdaso doonwnum,Tom wants to live in the country 
Tom mwlwngam hemp mvdub nyinwnum,Tom wants to make everyone happy 
Tom Bostonwb wwkub nwwknum,Tom wants to move back to Boston 
Tom pamto bwwyirho doonwnum,Tom wants to sit near the window 
Tom nam Meerig pagoqkam betom nwwnum,Tom wants to tell you about Mary 
Tom mwv hempdo hvl ngulam mwwm nwwnum,Tom wants us to think he's happy 
Tom ngoqg vbwg ajinv,Tom was a friend of my brother's 
"Tom noqg ajinv, bejiqdvi?","Tom was a friend of yours, right?"
Tomwn nyimurpan hvl bepan,Tom was acquitted of the charges 
Tom mwam xuqmab nyitayi hvl bosnum,Tom was afraid of being rejected 
Tom lamtangam wwpeqdub bosnum,Tom was afraid to cross the road 
Belentayin aalho Tom vpub doonum,Tom was alone on Valentine's Day 
Dukanam dvcopan hvl Tomwn pvtw lwqnum,Tom was arrested for shoplifting 
Tom kano noorab kunum,Tom was beginning to feel hungry 
Tom yumykunum,Tom was beginning to feel sleepy 
Tom hwnk ecdvk hvl benum,Tom was complaining of back pain 
Tom vvyam aniotai hvl bosnum,Tom was desperate to lose weight 
Tomwn toxdub hvl nootul apnum,Tom was detained for questioning 
Tomwn mwwg nyemko ajinv ruutwrdub mvnum,Tom was dumped by his girlfriend 
Tom luusaqjab kaangamnum,Tom was extraordinarily handsome 
Tom Meerin kwrkor ho aya mwwpa maanum,Tom was harsh and unkind to Mary 
Nvtaqnamv haainvp hvl Tom mwwgwl doonum,Tom was hoping to make a fortune 
Hoglokam wwk keqk dookma penkoho Tom dooknum,Tom was in the middle of nowhere 
Tomwn twwxumtvl gaari xarnbov riqxnum,Tom was killed by a drunk driver 
Tomwn jarxabo gule abxnum,Tom was killed by a stray bullet 
Tomwn gaari geqkho siknum,Tom was killed in a car accident 
Tomwn vnyi nyium kookwso menknum,Tom was killed three years later 
Lwxiam nyikynam hvb Tom hvraqb iskulho kookwjaqb haanum,Tom was late for school as usual 
Tom reel wkho tabdaqtvl doonum,Tom was leaning against the rail 
Tom bvlyho tabdaqtvl doonum,Tom was leaning against the wall 
Tom yubtaqnanho kvrtwl TV kaal doonum,Tom was lying in bed watching TV 
Tom Meerig vnyam nyem naanum,Tom was married to Mary's sister 
Tom swlw twwnam ham opaqlamanum,Tom was not able to quit smoking 
Tom Meerin vigo akam yamanum,Tom was not much older than Mary 
Tom ngoqg mwwl doonam nyi hvvma,Tom was not the man of my dreams 
Mui aiho Tom Tvho nyilwqnum,Tom was on television last night 
Ngoq hvbkalam Tom hoq akin hoqg uraho doonum,Tom was on the same flight as me 
Tom ngoqg otuqjaq honynam tulu hoqgv akwn,Tom was one of my first students 
Gobarnorv Tomwg nyimuram opaq jinum,Tom was pardoned by the governor 
Hoq moodho Tom vcjaqb anio xeqnum,Tom was pretty young at the time 
Tomwn an-ab cwwngv sonum,Tom was raised by foster parents 
Tom bejiqnum ho Meeri bexaqnum,Tom was right and Mary was wrong 
Tomwn nyikanam hv hwqdinum,Tom was shaken by the experience 
Tomwn pulis saabv abnum,Tom was shot by a police officer 
Dootumnanho Tom vpub doonum,Tom was sitting alone on a bench 
Tom mood mooma doomakugab mwv aal ecin dvnam ham dvkmanum,Tom was so busy he skipped lunch 
Tom ngam soqso kaapayinum,Tom was supposed to meet me here 
Tom mwwg kaanam ak hv mwam lomdub nyinum,Tom was surprised by what he saw 
Soqso Tom mwlwngam kookwjaqb haanum,Tom was the last one to get here 
Sam Tom nyitwk hvl benbov,Tom was the one who suggested it 
Cwrwho Tom rooxe dootwqnum,Tom was the only man in the room 
Cwrwho Tom mwv roxo doonum,Tom was the only one in the room 
Tom mwvtwq nyirnbov,Tom was the only one who laughed 
Tomwn roxo nyuum leenan akv,Tom was the only person arrested 
Nyimurgab jiinamv Tom aro,Tom was the only person punished 
Nyi ak kam haamatab Tom olo haaconum,Tom was there before anyone else 
Ngaagamgab Tom hog ak kam nyidub nyikmaanum,Tom was too tired to do anything 
Tom mwwlaqjaql mwlwngam kaanum,Tom was understandably concerned 
Tom jeenyeqbo iss jaanan ej koonum,Tom was wearing a green swimsuit 
